Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
BE,Weekly,2025-08-01,75034999,34.9,39.09,32.52,36.72,33.09527587890625,27.33965538820097,23.464087506997277,21.492651772696842,15.309981637103732,8.466024304194637,6.8439573329090955,120.47235172942916,128.06043264685974,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-08-08,44368754,37.72,39.85,35.0,36.8,34.947637939453124,29.23172431056078,24.734174411092773,22.367357385685594,17.252294208383976,10.223278285032505,7.029015923351471,118.79114900564477,126.375108348457,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,92.85714285714286
BE,Weekly,2025-08-15,58355176,37.12,47.21,36.8,45.28,40.113818969726566,32.44137944844863,26.690919705274414,23.676651249360702,20.586792415538067,12.295981111133617,8.29081130440445,117.94527278189805,124.84241097271901,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-08-22,60446206,45.4,48.97,40.56,48.54,44.32690948486328,35.6611035587589,28.77178449524828,25.097414035111516,23.261036390317937,14.488992166970483,8.772044223347454,116.97935840895681,123.41276505203496,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-08-29,50080412,48.45,55.07,47.83,52.94,48.63345474243164,39.116882847007126,31.073519305224632,26.688418947390858,25.598225105358953,16.71083875464818,8.887386350710774,116.01466189850501,122.06765538775677,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-09-05,36925624,50.0,57.33,48.87,57.07,52.851727371215816,42.7075062776057,33.54937460948895,28.424509293254236,27.503596939749052,18.869390391668354,8.634206548080698,114.98926346672413,120.78067503847811,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-09-12,66377314,57.48,68.74,52.0,67.26,60.05586368560791,47.61800502208456,36.75991036096619,30.643680190782565,30.053777942775127,21.10626790188971,8.947510040885419,114.4493774584454,119.6295300239267,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-09-19,73527127,68.0,85.4,63.94,84.93,72.49293184280396,55.08040401766765,41.34753794563608,33.745755608452136,33.80726272886621,23.64646686728501,10.160795861581203,114.77250389554231,118.74643436422043,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-09-26,93427447,83.73,86.89,61.37,70.32,71.40646592140197,58.12832321413412,44.10682004605169,35.8357124308263,33.455896110719664,25.608352715971943,7.847543394747721,113.53117265699531,117.79820496290677,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,95.23809523809523
BE,Weekly,2025-10-03,85585809,72.91,93.8,70.89,90.29,80.84823296070098,64.5606585713073,48.505218136903906,38.94738600620765,35.12579711259453,27.511841595296463,7.61395551729807,113.37234365221731,116.99350290641776,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-10-10,52780993,92.99,95.69,83.47,86.87,83.8591164803505,69.02252685704585,52.159006885770204,41.68582109156721,35.07348953594117,29.02417118342541,6.049318352515762,112.43635859001938,116.16493121252714,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,95.65217391304348
BE,Weekly,2025-10-17,83349716,105.99,125.75,101.55,111.5,97.67955824017525,77.51802148563668,57.810530039506375,45.67520274347766,36.93537181622049,30.606411309984423,6.328960506236065,112.54180389869103,115.50618079182966,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,87.5
BE,Weekly,2025-10-24,52887562,116.14,119.6,88.23,110.38,104.02977912008762,84.09041718850935,62.81714622622005,49.372619729564654,37.21085109740982,31.927299267469508,5.283551829940315,111.98330003838655,114.86565701847636,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,96.0
BE,Weekly,2025-10-31,84304867,112.66,144.2,103.0,132.16,118.09488956004381,93.70433375080748,69.42122753800862,54.10332717358953,38.478438860713545,33.23752718611832,5.240911674595225,111.95756819339637,114.33691359573454,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
BE,Weekly,2025-11-07,74888688,132.52,147.82,123.24,135.21,126.65244478002191,102.005467000646,75.68682491534113,58.73799419224155,38.67555887371791,34.32513352363824,4.350425350079668,111.46531859555382,113.8148054138835,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,96.29629629629629
